1 5
2 2.5
3 1.66667
4 1.25
5 1
6 0.833333
7 0.714286
8 0.625
9 0.555556
10 0.5
11 0.454545
12 0.416667
13 0.384615
14 0.357143
15 0.333333
16 0.3125
17 0.294118
18 0.277778
19 0.263158
20 0.25
21 0.238095
22 0.227273
23 0.217391
24 0.208333
25 0.2
26 0.192308
27 0.185185
28 0.178571
29 0.172414
30 0.166667
31 0.16129
32 0.15625
33 0.151515
34 0.147059
35 0.142857
36 0.138889
37 0.135135
38 0.131579
39 0.128205
40 0.125
41 0.121951
42 0.119048
43 0.116279
44 0.113636
45 0.111111
46 0.108696
47 0.106383
48 0.104167
49 0.102041
50 0.1
51 0.0980392
52 0.0961538
53 0.0943396
54 0.0925926
55 0.0909091
56 0.0892857
57 0.0877193
58 0.0862069
59 0.0847458
60 0.0833333
61 0.0819672
62 0.0806452
63 0.0793651
64 0.078125
65 0.0769231
66 0.0757576
67 0.0746269
68 0.0735294
69 0.0724638
70 0.0714286
71 0.0704225
72 0.0694444
73 0.0684932
74 0.0675676
75 0.0666667
76 0.0657895
77 0.0649351
78 0.0641026
79 0.0632911
80 0.0625
81 0.0617284
82 0.0609756
83 0.060241
84 0.0595238
85 0.0588235
86 0.0581395
87 0.0574713
88 0.0568182
89 0.0561798
90 0.0555556
91 0.0549451
92 0.0543478
93 0.0537634
94 0.0531915
95 0.0526316
96 0.0520833
97 0.0515464
98 0.0510204
99 0.0505051
100 0.05
